Average incidence rate of hepatitis B,Average incidence rate of hepatitis C
33.44817778,13.75043333
178.807,47.75058889
124.7146222,21.40896667
45.83726667,23.98633333
50.63944444,17.62268889
13.89138889,3.675233333
195.4958222,33.64021111
86.81946667,29.37675556
61.99625556,17.35026667
95.10104444,27.30293333
48.67516667,3.859666667
96.08721111,29.67906667
68.08716667,10.61174444
75.61284444,10.4063
10.93397778,4.994155556
51.91013333,1.177544444
15.82122222,3.528633333
65.17743333,9.016766667
110.3231778,13.82007778
34.09434444,4.802511111
82.22996667,5.865333333
80.06011111,17.25891111
43.5952,17.99276667
59.49812222,11.8751
122.7664556,6.741655556
94.31904444,20.32138889
134.5201889,19.4668
118.3688111,24.6378
62.32822222,11.5105
38.16262222,6.612222222
54.55074444,11.18683333
