,,Hepatitis B,Hepatitis C
Heilongjiang,r[1],0.682,1.208
Xinjiang,r[2],1.181,1.405
Shanxi,r[3],1.386,1.119
Jining,r[4],0.7485,1.423
Liaoning,r[5],0.8705,1.25
Tianjin,r[6],0.5333,0.8336
Qinghai,r[7],1.35,1.349
Gansu,r[8],0.9148,1.372
Shaanxi,r[9],1.031,1.147
Inner Mongolia,r[10],1.01,1.294
Shandong,r[11],0.9744,0.7577
Henan,r[12],1.038,1.08
Ningxia,r[13],1.164,1.176
Hebei,r[14],1.075,0.9503
Beijing,r[15],0.468,0.8895
Tibet,r[16],0.8845,0.887
Jiangsu,r[17],0.6628,0.7556
Anhui,r[18],1.098,0.8381
Hubei,r[19],1.36,0.9539
Zhejiang,r[20],0.9439,0.7916
Jiangxi,r[21],1.49,0.8049
Hunan,r[22],1.232,1.008
Yunnan,r[23],0.7922,1.125
Guizhou,r[24],1.025,1.063
Fujian,r[25],1.968,0.8055
Guangxi,r[26],1.326,1.128
Guangdong,r[27],1.611,1.014
Hainan,r[28],1.674,1.308
Chongqing,r[29],1.112,1.022
Shanghai,r[30],1.092,0.866
Sichuan,r[31],0.9332,1.045
