Population,2010,2011,2012,2013,2014,2015,2016,2017,2018
Heilongjiang,383.335,383.401,383.404,383.502,383.3,381.17,379.9,378.87,377.3
Xinjiang,218.5,220.871,223.278,226.43,229.847,235.973,239.8,244.5,248.7
Shanxi,357.411,359.328,361.083,362.98,364.796,366.412,368.2,370.2,371.8
Jining,274.66,274.941,275.04,275.128,275.238,275.332,273.3,271.7,270.4
Liaoning,437.5,438.3,438.9,439,439.1,438.24,437.8,436.9,435.9
Tianjin,129.929,135.458,141.315,147.221,151.681,154.695,156.2,155.7,156
Qinghai,56.347,56.817,57.317,57.779,58.342,58.843,59.3,59.8,60.3
Gansu,255.998,256.419,257.755,258.218,259.078,259.955,261,262.6,263.7
Shaanxi,373.5,374.3,375.3,376.4,377.512,379.3,381.3,383.5,386.4
Inner Mongolia,247.218,248.171,248.985,249.761,250.481,251.104,252,252.9,253.4
Shandong,958.787,963.727,968.487,973.339,978.943,984.716,994.7,1000.583,1004.7
Henan,940.547,938.824,940.62,941.335,943.6,948,953.2,955.913,960.5
Ningxia,63.296,63.945,64.719,65.419,66.154,66.788,67.5,68.2,68.8
Hebei,719.36,724.051,728.751,733.261,738.375,742.492,747,751.952,755.6
Beijing,196.19,201.86,206.93,211.48,215.16,217.05,217.3,217.07,215.4
Tibet,30.022,30.33,30.762,31.204,31.755,32.397,33.1,33.7,34.4
Jiangsu,786.934,789.8800668,791.998,793.949,796.006,797.63,799.9,802.93,805.1
Anhui,595.67,596.8,598.8,602.98,608.29,614.36,619.6,625.5,632.4
Hubei,572.79143,575.8,577.9,579.9,581.6,585.15,588.5,590.2,591.7
Zhejiang,544.651,546.3,547.7,549.8,550.8,553.9,559,565.7,573.7
Jiangxi,446.22489,448.84367,450.39321,452.215,454.216,456.563,459.2,462.2,464.8
Hunan,657.01,659.56,663.893,669.06,673.724,678.303,682.2,686.015,689.9
Yunnan,460.16,463.1,465.9,468.66,471.39,474.18,477.1,480.05,483
Guizhou,347.9,346.9,348.407,350.222,350.804,352.95,355.5,358,360
Fujian,369.3,372,374.8,377.4,380.6,383.9,387.4,391.1,394.1
Guangxi,461,464.5,468.2,471.9,475.4,479.6,483.8,488.5,492.6
Guangdong,1044.094,1050.5,1059.4,1064.4,1072.4,1084.9,1099.9,1116.9,1134.6
Hainan,86.855,87.738,88.655,89.528,90.348,91.082,91.7,92.6,93.4
Chongqing,288.462,291.9,294.5,297,299.14,301.655,304.8,307.516,310.2
Shanghai,230.266,234.746,238.043,241.515,242.568,241.527,242,241.8,242.4
Sichuan,804.492,805,807.62,810.7,814.02,820.4,826.2,830.2,834.1
,,,,,,,,,
Kilometer mileage,2010,2011,2012,2013,2014,2015,2016,2017,2018
Heilongjiang,151945,155592,159063,160206,162464,163233,164502,165989.167,167116
Xinjiang,152843,155150,165909,170155,175468,178263,182085,185337.72,189050
Shanxi,131644,134808,137771,139434,140436,140960,142066,142855.143,143326
Jining,90437,91754,93208,94191,96041,97326,102484,103895.729,105399
Liaoning,101545,104026,105562,110973,115430,120365,120613,122705.448,122974
Tianjin,14832,15163,15391,15718,16110,16550,16764,16532.146,16257
Qinghai,62185,64280,65988,70117,72703,75593,78585,80895.128,82137
Gansu,118879,123696,131201,133597,138084,140052,143039,142252.036,143228
Shaanxi,147461,151986,161411,165249,167145,170069,172471,174395.006,177128
Inner Mongolia,157994,160995,163763,167515,172167,175374,196061,199422.89,202641
Shandong,229859,233190,244586,252786,259515,263447,265720,270590.238,275642
Henan,245089,247587,249649,249831,249857,250584,267441,267805.416,268589
Ningxia,22518,24506,26522,28554,31276,33240,33940,34561.152,35405
Hebei,154344,156965,163045,174492,179200,184553,188431,191693.209,193252
Beijing,21114,21347,21492,21673,21849,21885,22026,22225.97,22256
Tibet,60810,63108,65198,70591,75470,78348,82096,89343.288,97785
Jiangsu,150307,152247,154118,156094,157521,158805,157304,158475.013,158729
Anhui,149382,149535,165157,173763,174373,186940,197588,203285.308,208826
Hubei,206211,212747,218151,226912,236933,252980,260179,269484.032,275039
Zhejiang,110177,111776,113550,115426,116367,118015,119053,120101.401,120662
Jiangxi,140597,146632,150595,152067,155515,156625,161909,162285.124,161941
Hunan,227998,232190,234040,235392,236250,236886,238273,239723.816,240060
Yunnan,209231,214524,219052,222940,230398,236007,238052,242546.303,252929
Guizhou,151644,157820,164542,172564,179079,186407,191626,194379.014,196908
Fujian,91015,92322,94661,99535,101190,104585,106757,108011.607,108901
Guangxi,101782,104889,107906,111384,114900,117993,120547,123259.406,125449
Guangdong,190144,190724,194943,202915,212094,216023,218085,219580.023,217699
Hainan,21236,22916,24265,24852,26002,26860,28217,30684.297,35023
Chongqing,116949,118562,120728,122846,127392,140551,142921,147881.342,157483
Shanghai,11974,12084,12541,12633,12945,13195,13292,13321.991,13106
Sichuan,266082,283268,293499,301816,309742,315582,324138,329950.47,331592
,,,,,,,,,
Urbanization rate,2010,2011,2012,2013,2014,2015,2016,2017,2018
Heilongjiang,55.66077112,56.5,56.9,57.4,58.01,58.8,59.2,59.4,60.1
Xinjiang,43.01,43.54,43.98,44.47,46.07,47.23,48.35,49.38,50.91
Shanxi,48.05,49.68,51.26,52.56,53.79,55.03,56.21,57.34,58.41
Jining,53.34986264,53.4,53.7,54.2,54.81,55.31,55.97,56.65,57.53
Liaoning,62.1028752,64.05,65.65,66.45,67.05,67.35,67.37,67.49,68.1
Tianjin,79.55,80.5,81.55,82.01,82.27,82.64,82.93,82.93,83.15
Qinghai,44.72,46.22,47.44,48.51,49.78,50.3,51.63,53.07,54.47
Gansu,36.12,37.15,38.75,40.13,41.68,43.19,44.69,46.39,47.69
Shaanxi,45.76,47.3,50.0206747,51.3106747,52.5706747,53.92,55.34,56.79,58.13
Inner Mongolia,55.5,56.62,57.74,58.71,59.51,60.3,61.19,62.02,62.71
