hepatitis B,,,,,,,,,,,,,
 Brooks-Gelman-Rubin (BGR) ratio,,mean,sd,MC_error,val2.5pc,val5.0pc,val10.0pc,val25.0pc,median,val75.0pc,val90.0pc,val95.0pc,val97.5pc
1.01,a[1],1.223,0.09807,0.004334,1.047,1.072,1.1,1.153,1.217,1.287,1.352,1.392,1.428
1.014,a[2],1.165,0.06618,0.002717,1.045,1.062,1.083,1.119,1.162,1.209,1.252,1.279,1.302
1.008,a[3],1.158,0.05755,0.001926,1.051,1.067,1.085,1.118,1.156,1.195,1.233,1.256,1.275
1.004,a[4],0.9902,0.02723,6.74E-04,0.9386,0.9461,0.9555,0.9715,0.9897,1.008,1.025,1.036,1.045
0.9997,a[5],0.9382,0.02158,2.22E-04,0.8967,0.9033,0.9108,0.9236,0.938,0.9526,0.9661,0.9743,0.9814
1.002,a[6],0.8938,0.027,8.20E-04,0.8416,0.8498,0.8591,0.8753,0.8936,0.9119,0.9286,0.9385,0.9472
1.01,a[7],0.8692,0.03675,0.001416,0.7984,0.809,0.8218,0.8439,0.8691,0.8943,0.9164,0.9296,0.9409
1.012,a[8],0.9194,0.05193,0.002123,0.8201,0.8356,0.853,0.8837,0.9191,0.9546,0.9859,1.005,1.022
1.01,a[9],0.9251,0.06811,0.002888,0.7958,0.8155,0.8383,0.8778,0.9243,0.9708,1.013,1.038,1.06
0.9982,b1[1],-0.01545,0.02118,4.86E-04,-0.05696,-0.05025,-0.04261,-0.02971,-0.01543,-0.001126,0.01163,0.01917,0.02606
0.9999,b1[2],0.01302,0.02022,3.47E-04,-0.02637,-0.02009,-0.01266,-6.56E-04,0.01295,0.02655,0.03878,0.04641,0.05296
1.004,b1[3],-0.01008,0.02145,5.33E-04,-0.05172,-0.04506,-0.03729,-0.02453,-0.01017,0.004195,0.01735,0.02532,0.03257
1.004,b1[4],-0.02901,0.02245,5.51E-04,-0.07278,-0.06562,-0.05762,-0.04413,-0.02904,-0.01393,-2.63E-04,0.007863,0.01494
1,b1[5],-0.03376,0.02129,5.05E-04,-0.07525,-0.06883,-0.06075,-0.048,-0.03389,-0.01938,-0.006525,0.001266,0.008239
0.9997,b1[6],0.02286,0.02513,8.35E-04,-0.02577,-0.01812,-0.009182,0.005807,0.02263,0.0396,0.05516,0.06482,0.07318
1.001,b1[7],-0.06274,0.0201,3.46E-04,-0.1022,-0.09552,-0.08793,-0.07612,-0.06297,-0.04941,-0.03695,-0.02942,-0.02274
0.998,b1[8],-0.1721,0.02221,5.95E-04,-0.2159,-0.2088,-0.2006,-0.1871,-0.1721,-0.1571,-0.144,-0.1359,-0.1288
1.001,b1[9],-0.06841,0.01995,3.48E-04,-0.1073,-0.1009,-0.09377,-0.08185,-0.06845,-0.05515,-0.04292,-0.03553,-0.02913
1.001,b1[10],-0.04385,0.02018,3.64E-04,-0.08327,-0.07687,-0.06941,-0.05735,-0.044,-0.03049,-0.01791,-0.01037,-0.003921
1.004,b1[11],0.1154,0.02002,3.30E-04,0.07612,0.08245,0.08991,0.1019,0.1155,0.1287,0.1409,0.1483,0.1549
0.9992,b1[12],-0.03307,0.02178,5.01E-04,-0.076,-0.0689,-0.06093,-0.04747,-0.03301,-0.01856,-0.005315,0.002666,0.009684
1.001,b1[13],-0.1015,0.02046,3.78E-04,-0.1414,-0.1348,-0.1274,-0.1152,-0.1016,-0.08783,-0.07524,-0.06752,-0.06089
1.001,b1[14],0.006596,0.02108,4.88E-04,-0.03441,-0.02803,-0.02036,-0.007622,0.00644,0.02069,0.03368,0.04136,0.04844
0.9989,b1[15],-0.008071,0.03044,0.001201,-0.06652,-0.05773,-0.04719,-0.02927,-0.008355,0.01276,0.03142,0.04263,0.05161
1,b1[16],0.1726,0.02221,5.12E-04,0.1295,0.1367,0.1446,0.1578,0.1723,0.1873,0.2013,0.2097,0.2168
0.9978,b1[17],0.04815,0.02324,6.88E-04,0.002612,0.009859,0.01829,0.03239,0.04817,0.06386,0.07811,0.08658,0.09356
1.002,b1[18],0.06098,0.02026,3.68E-04,0.02147,0.02771,0.03519,0.04737,0.06094,0.07444,0.08712,0.09446,0.1011
1.002,b1[19],-0.006444,0.02058,4.19E-04,-0.04726,-0.0403,-0.03272,-0.0202,-0.006471,0.007482,0.01976,0.02719,0.03405
1.002,b1[20],-0.05078,0.02097,4.61E-04,-0.09225,-0.0854,-0.07777,-0.06472,-0.05062,-0.03662,-0.02415,-0.01652,-0.009882
1.001,b1[21],0.05004,0.02007,3.69E-04,0.01073,0.01729,0.02461,0.03651,0.04994,0.06341,0.07568,0.08317,0.08981
0.9993,b1[22],0.04312,0.02079,4.36E-04,0.002932,0.009468,0.01672,0.02898,0.04296,0.05677,0.06995,0.07772,0.08486
0.9988,b1[23],-0.07832,0.02135,4.94E-04,-0.1205,-0.1137,-0.1059,-0.09245,-0.0782,-0.06398,-0.05115,-0.04339,-0.03638
1.001,b1[24],-0.02557,0.02092,4.71E-04,-0.0668,-0.06007,-0.05233,-0.03955,-0.02555,-0.01155,0.001012,0.008861,0.01556
1.002,b1[25],0.01033,0.02097,4.57E-04,-0.03091,-0.0243,-0.01672,-0.003784,0.01048,0.02437,0.03696,0.04471,0.05159
0.9996,b1[26],0.05722,0.0204,3.68E-04,0.01752,0.02377,0.03134,0.04354,0.05704,0.07071,0.08332,0.09088,0.09785
0.9997,b1[27],0.03047,0.02158,5.35E-04,-0.01212,-0.005096,0.0028,0.0159,0.03057,0.04518,0.05784,0.06564,0.07222
1.001,b1[28],0.0496,0.0219,4.72E-04,0.007147,0.01399,0.02177,0.03472,0.04937,0.06416,0.07791,0.08595,0.09294
0.9977,b1[29],0.003662,0.02001,3.12E-04,-0.03556,-0.02929,-0.022,-0.00965,0.00365,0.01708,0.02927,0.03647,0.04314
1.002,b1[30],0.1118,0.03198,0.001308,0.05089,0.05969,0.07052,0.08941,0.1114,0.1336,0.1534,0.1652,0.1752
1.001,b1[31],-0.04648,0.02069,4.41E-04,-0.08658,-0.08022,-0.07283,-0.06031,-0.04663,-0.03281,-0.01976,-0.01217,-0.005555
1.018,beta1,1.47E-06,1.19E-06,6.07E-08,-6.53E-07,-4.00E-07,-7.79E-08,5.81E-07,1.41E-06,2.30E-06,3.10E-06,3.49E-06,3.80E-06
0.9999,beta2,0.02543,0.008394,3.49E-04,0.009444,0.01189,0.01483,0.01953,0.02534,0.03098,0.03624,0.03957,0.04253
0.9551,beta3,0.0109,0.01076,5.76E-04,-0.008535,-0.007043,-0.00461,0.003369,0.01029,0.01944,0.02529,0.02859,0.03152
0.9991,beta4,-8.71E-05,2.20E-04,1.12E-05,-5.57E-04,-4.51E-04,-3.67E-04,-2.21E-04,-7.91E-05,4.99E-05,1.82E-04,2.67E-04,3.41E-04
0.9998,beta5,-0.002356,0.002272,3.34E-05,-0.006853,-0.006117,-0.00529,-0.003876,-0.002339,-8.15E-04,5.31E-04,0.001361,0.002081
0.9956,beta6,0.02741,0.003935,1.57E-04,0.01961,0.02087,0.0223,0.02478,0.02748,0.03018,0.0324,0.03372,0.0348
1.002,beta7,-0.00872,0.01719,7.86E-04,-0.04347,-0.03763,-0.03105,-0.02007,-0.008702,0.002716,0.01331,0.02047,0.02565
1.012,beta8,-3.51E-06,3.62E-06,1.85E-07,-1.06E-05,-9.62E-06,-8.38E-06,-6.09E-06,-3.21E-06,-9.86E-07,9.48E-07,2.08E-06,3.35E-06
0.9958,r[1],0.682,0.1972,0.004969,0.3984,0.4318,0.4698,0.5392,0.641,0.7919,0.9688,1.043,1.129
1.002,r[2],1.181,0.2956,0.007468,0.7075,0.7686,0.8462,0.9797,1.144,1.346,1.561,1.713,1.855
0.9989,r[3],1.386,0.3769,0.01051,0.81,0.8705,0.9411,1.07,1.34,1.669,1.9,2.03,2.154
1.001,r[4],0.7485,0.1875,0.004598,0.464,0.4998,0.5413,0.6113,0.7164,0.8598,1.002,1.083,1.168
1.001,r[5],0.8705,0.195,0.004297,0.5471,0.5914,0.6441,0.7351,0.8509,0.9855,1.113,1.214,1.315
1,r[6],0.5333,0.208,0.007445,0.2475,0.2743,0.3089,0.3832,0.4845,0.6414,0.8456,0.9709,1.02
1.001,r[7],1.35,0.3768,0.01112,0.7848,0.8479,0.9273,1.053,1.294,1.588,1.858,2.038,2.191
0.9961,r[8],0.9148,0.1886,0.003988,0.6075,0.6439,0.6894,0.7773,0.9016,1.022,1.153,1.247,1.338
1.001,r[9],1.031,0.163,0.002117,0.7517,0.794,0.8446,0.9259,1.01,1.117,1.241,1.327,1.41
1.006,r[10],1.01,0.1841,0.00457,0.6959,0.7396,0.7919,0.8865,0.9923,1.115,1.253,1.34,1.42
0.9998,r[11],0.9744,0.2061,0.004874,0.612,0.6638,0.7255,0.8366,0.9642,1.091,1.233,1.333,1.432
1.001,r[12],1.038,0.1997,0.004733,0.7011,0.7479,0.8044,0.9067,1.013,1.15,1.296,1.397,1.491
1.001,r[13],1.164,0.279,0.006814,0.7178,0.7785,0.8515,0.9753,1.125,1.315,1.528,1.673,1.818
0.9984,r[14],1.075,0.2471,0.006647,0.6868,0.7338,0.7896,0.8945,1.024,1.239,1.441,1.529,1.605
0.9982,r[15],0.468,0.2189,0.008118,0.1912,0.2141,0.2442,0.3061,0.4089,0.5781,0.7979,0.9486,1.007
1.007,r[16],0.8845,0.2371,0.006504,0.484,0.5358,0.5978,0.7153,0.8697,1.02,1.181,1.297,1.413
1.001,r[17],0.6628,0.245,0.007972,0.3252,0.347,0.3763,0.4565,0.6188,0.8428,1.008,1.086,1.171
1.003,r[18],1.098,0.1962,0.003554,0.752,0.8032,0.8651,0.9685,1.081,1.215,1.346,1.438,1.53
1.009,r[19],1.36,0.3163,0.009463,0.8801,0.9348,0.991,1.108,1.32,1.567,1.798,1.931,2.04
1,r[20],0.9439,0.2174,0.005454,0.6014,0.6391,0.6884,0.7808,0.9251,1.071,1.229,1.336,1.435
1.001,r[21],1.49,0.338,0.00897,0.9518,0.9944,1.051,1.227,1.472,1.732,1.931,2.054,2.175
1.002,r[22],1.232,0.2342,0.005054,0.8582,0.9116,0.969,1.063,1.204,1.369,1.536,1.655,1.767
1,r[23],0.7922,0.2103,0.005012,0.4695,0.5022,0.5407,0.6307,0.7636,0.9375,1.067,1.159,1.247
1.001,r[24],1.025,0.1986,0.003885,0.6889,0.7355,0.7949,0.8936,1.004,1.133,1.279,1.381,1.478
0.999,r[25],1.968,0.6266,0.01786,0.9846,1.023,1.146,1.462,1.938,2.428,2.797,3.023,3.22
0.9989,r[26],1.326,0.297,0.007096,0.8459,0.9062,0.9764,1.098,1.3,1.517,1.708,1.839,1.969
1.006,r[27],1.611,0.3834,0.009908,0.9854,1.017,1.111,1.328,1.593,1.863,2.109,2.266,2.414
1.003,r[28],1.674,0.5162,0.01221,0.9098,0.9871,1.079,1.323,1.605,1.936,2.321,2.61,2.902
1.001,r[29],1.112,0.2032,0.002619,0.7668,0.82,0.8808,0.9813,1.088,1.223,1.369,1.475,1.581
0.9966,r[30],1.092,0.5198,0.02079,0.3789,0.4547,0.5535,0.7609,1.004,1.298,1.707,2.06,2.461
1.005,r[31],0.9332,0.1823,0.004342,0.6073,0.6517,0.7043,0.8073,0.9306,1.039,1.16,1.244,1.327
1.022,r1,1,1.06E-06,6.07E-08,1,1,1,1,1,1,1,1,1
0.999,r2,1.026,0.008614,3.58E-04,1.009,1.012,1.015,1.02,1.026,1.031,1.037,1.04,1.043
0.9562,r3,1.011,0.01088,5.83E-04,0.9915,0.993,0.9954,1.003,1.01,1.02,1.026,1.029,1.032
0.9991,r4,0.9999,2.20E-04,1.12E-05,0.9994,0.9995,0.9996,0.9998,0.9999,1,1,1,1
0.9998,r5,0.9976,0.002267,3.33E-05,0.9932,0.9939,0.9947,0.9961,0.9977,0.9992,1.001,1.001,1.002
0.9955,r6,1.028,0.004044,1.61E-04,1.02,1.021,1.023,1.025,1.028,1.031,1.033,1.034,1.035
1.002,r7,0.9915,0.01705,7.80E-04,0.9575,0.9631,0.9694,0.9801,0.9913,1.003,1.013,1.021,1.026
1.016,r8,1,3.61E-06,1.85E-07,1,1,1,1,1,1,1,1,1
0.9971,s[1],-0.4217,0.2766,0.006986,-0.9204,-0.8397,-0.7554,-0.6177,-0.4448,-0.2333,-0.03165,0.04207,0.1213
1.002,s[2],0.1369,0.2438,0.006082,-0.346,-0.2632,-0.167,-0.02051,0.1342,0.2973,0.4453,0.5384,0.618
0.9989,s[3],0.2896,0.2729,0.007587,-0.2107,-0.1387,-0.06067,0.0678,0.2926,0.5125,0.642,0.7081,0.7675
1,s[4],-0.3195,0.2429,0.006,-0.7678,-0.6935,-0.6138,-0.4921,-0.3335,-0.151,0.002041,0.0795,0.1551
1,s[5],-0.163,0.2204,0.004958,-0.6032,-0.5252,-0.4399,-0.3078,-0.1615,-0.01463,0.1075,0.1942,0.2736
1.003,s[6],-0.6998,0.3752,0.01377,-1.396,-1.293,-1.175,-0.9591,-0.7246,-0.4441,-0.1677,-0.02952,0.01988
1.001,s[7],0.2624,0.2734,0.007947,-0.2424,-0.165,-0.07553,0.05159,0.258,0.4623,0.6194,0.7121,0.7843
0.9959,s[8],-0.1096,0.2026,0.004462,-0.4985,-0.4402,-0.3719,-0.2519,-0.1035,0.02183,0.1427,0.2204,0.2908
1.001,s[9],0.01834,0.1546,0.001965,-0.2855,-0.2307,-0.1688,-0.07699,0.01041,0.1104,0.2156,0.2832,0.3435
